LAST SEEN   TYPE      REASON                            OBJECT                                                                           MESSAGE
43m         Warning   CreateRevision                    composition                                                                      cannot get Composition: Composition.apiextensions.crossplane.io "apg-serverless.aws.database.example.org" not found
43m         Normal    CreateRevision                    composition/apg-serverless.aws.database.example.org                              Created new revision
32m         Normal    CreatedExternalResource           securitygroup/crossplane-apg-serverless-6nw2g-7spzk                              Successfully requested creation of external resource
42m         Warning   CannotInitializeManagedResource   securitygroup/crossplane-apg-serverless-6nw2g-7spzk                              Operation cannot be fulfilled on securitygroups.ec2.aws.upbound.io "crossplane-apg-serverless-6nw2g-7spzk": the object has been modified; please apply your changes to the latest version and try again
35m         Normal    PendingExternalResource           securitygroup/crossplane-apg-serverless-6nw2g-7spzk                              Waiting for external resource existence to be confirmed
29m         Warning   CannotResolveResourceReferences   clusterinstance/crossplane-apg-serverless-6nw2g-hlnj9                            cannot resolve references: mg.Spec.ForProvider.ClusterIdentifier: referenced field was empty (referenced resource may not yet be ready)
43m         Warning   CannotInitializeManagedResource   clusterinstance/crossplane-apg-serverless-6nw2g-hlnj9                            Operation cannot be fulfilled on clusterinstances.rds.aws.upbound.io "crossplane-apg-serverless-6nw2g-hlnj9": the object has been modified; please apply your changes to the latest version and try again
28m         Normal    CreatedExternalResource           clusterinstance/crossplane-apg-serverless-6nw2g-hlnj9                            Successfully requested creation of external resource
32m         Warning   CannotResolveResourceReferences   securitygrouprule/crossplane-apg-serverless-6nw2g-npxvp                          cannot resolve references: mg.Spec.ForProvider.SecurityGroupID: referenced field was empty (referenced resource may not yet be ready)
31m         Normal    CreatedExternalResource           securitygrouprule/crossplane-apg-serverless-6nw2g-npxvp                          Successfully requested creation of external resource
42m         Normal    CreatedExternalResource           subnetgroup/crossplane-apg-serverless-6nw2g-nv2lx                                Successfully requested creation of external resource
42m         Warning   CannotInitializeManagedResource   subnetgroup/crossplane-apg-serverless-6nw2g-nv2lx                                Operation cannot be fulfilled on subnetgroups.rds.aws.upbound.io "crossplane-apg-serverless-6nw2g-nv2lx": the object has been modified; please apply your changes to the latest version and try again
